;Vrouwen;;Mannen;
Rank;eerste_voornaam;aantal;eerste_voornaam;aantal
271;Hendrica;5.140;Maurits;4.660
272;Aartje;5.126;Bryan;4.647
273;Dominique;5.115;Bjorn;4.644
274;Sabrina;5.109;Stephanus;4.634
275;Nadia;5.100;Mitchell;4.561
276;Janke;5.098;William;4.554
277;Daisy;5.081;Jaap;4.538
278;Alice;5.073;Chris;4.508
279;Rosalie;5.064;Olaf;4.496
280;Mathilda;5.047;Emiel;4.490
281;Annelies;5.034;Jurgen;4.456
282;Janine;5.017;Guus;4.407
283;Rebecca;4.901;Luca;4.399
284;Willempje;4.897;Jesper;4.398
285;Bernardina;4.892;Otto;4.379
286;Bernadette;4.869;Anthony;4.353
287;Jeanette;4.810;Rudi;4.330
288;Margje;4.767;Jarno;4.328
289;Lianne;4.737;Twan;4.316
290;Esmée;4.722;Arno;4.314
291;Aukje;4.713;Godefridus;4.311
292;Froukje;4.698;Kees;4.309
293;Cecilia;4.658;Jelmer;4.301
294;Elisa;4.632;Stef;4.301
295;Amanda;4.629;Hidde;4.266
296;Carola;4.619;Youri;4.255
297;Hillegonda;4.616;Piet;4.252
298;Meike;4.614;Ronnie;4.246
299;Lara;4.600;Thijmen;4.211
300;Karen;4.590;Auke;4.197
301;Lilian;4.585;Matheus;4.196
302;Anthonia;4.581;Barry;4.187
303;Grada;4.569;Carolus;4.156
304;Jeltje;4.550;Eddy;4.137
305;Nynke;4.540;Tijn;4.135
306;Jill;4.520;Samuel;4.127
307;Elly;4.470;Jayden;4.110
308;Bo;4.441;Ronaldus;4.110
309;Isabella;4.430;Olivier;4.099
310;Maureen;4.423;Harold;4.078
311;Josepha;4.412;Joshua;4.056
312;Nadine;4.391;Tjeerd;4.044
313;Hester;4.379;Reinder;4.040
314;Isabel;4.365;Rudy;4.040
315;Isabelle;4.301;Dion;4.036
316;Veronica;4.298;Huibert;4.019
317;Luna;4.296;Fredericus;3.985
318;Marian;4.279;Freddy;3.983
319;Tjitske;4.271;Tristan;3.962
320;Sterre;4.245;Tijmen;3.946
321;Harmina;4.222;Hubert;3.936
